chr1	14409	16909	+
chr1	36081	38581	-
chr1	368597	371097	+
chr1	622034	624534	-
chr1	2939467	2941967	+
chr1	6305638	6308138	+
chr1	9034503	9037003	+
chr1	9086404	9088904	-
chr1	11209595	11212095	+
chr1	11918992	11921492	-
chr1	12567451	12569951	+
chr1	12788726	12791226	+
chr1	12821102	12823602	+
chr1	12838048	12840548	+
chr1	12856777	12859277	+
chr1	12891264	12893764	-
chr1	12921764	12924264	+
chr1	12946025	12948525	-
chr1	12958094	12960594	-
chr1	12980568	12983068	+
chr1	13007406	13009906	-
chr1	13369057	13371557	+
chr1	13390765	13393265	-
chr1	13428191	13430691	+
chr1	13452656	13455156	-
chr1	13477569	13480069	-
chr1	13526943	13529443	+
chr1	13611550	13614050	-
chr1	13635299	13637799	+
chr1	13648988	13651488	+
chr1	13698405	13700905	-
chr1	13719064	13721564	+
chr1	13747803	13750303	+
chr1	16074292	16076792	+
chr1	17728195	17730695	+
chr1	18153558	18156058	+
chr1	19186155	19188655	-
chr1	19751182	19753682	+
chr1	20141771	20144271	-
chr1	20250110	20252610	-
chr1	26497364	26499864	+
chr1	26529033	26531533	+
chr1	27240567	27243067	-
chr1	28161077	28163577	+
chr1	33802465	33804965	-
chr1	34684731	34687231	+
chr1	40717365	40719865	+
chr1	42621495	42623995	+
chr1	42630395	42632895	-
chr1	47015678	47018178	-
chr1	47016887	47019387	-
chr1	51613754	51616254	+
chr1	52461712	52464212	+
chr1	53905693	53908193	-
chr1	53933158	53935658	+
chr1	54483859	54486359	-
chr1	55474465	55476965	+
chr1	55842525	55845025	-
chr1	57431688	57434188	-
chr1	63704845	63707345	+
chr1	64710027	64712527	+
chr1	67266942	67269442	-
chr1	67600654	67603154	-
chr1	70386000	70388500	+
chr1	72302695	72305195	-
chr1	76398116	76400616	-
chr1	84379059	84381559	-
chr1	84880691	84883191	+
chr1	88943810	88946310	-
chr1	90453503	90456003	-
chr1	91182794	91185294	-
chr1	92295626	92298126	-
chr1	97161723	97164223	-
chr1	98515249	98517749	-
chr1	102360299	102362799	+
chr1	102462790	102465290	-
chr1	104207173	104209673	+
chr1	104238912	104241412	-
chr1	104301311	104303811	+
chr1	108537229	108539729	+
chr1	108786703	108789203	-
chr1	108953434	108955934	+
chr1	109013260	109015760	+
chr1	109401146	109403646	+
chr1	109643234	109645734	+
chr1	111033891	111036391	+
chr1	111061797	111064297	-
chr1	111828730	111831230	+
chr1	111863188	111865688	+
chr1	111932473	111934973	-
chr1	113269856	113272356	+
chr1	116383747	116386247	-
chr1	116821443	116823943	+
chr1	117786130	117788630	-
chr1	120057681	120060181	+
chr1	120387503	120390003	-
chr1	120439147	120441647	-
chr1	143767881	143770381	-
chr1	145934507	145937007	-
chr1	147381395	147383895	+
chr1	147484331	147486831	-
chr1	148806799	148809299	+
chr1	149812765	149815265	-
chr1	149824687	149827187	+
chr1	151273440	151275940	-
chr1	152061540	152064040	-
chr1	152131704	152134204	-
chr1	152484653	152487153	+
chr1	152539229	152541729	-
chr1	152552980	152555480	-
chr1	152573562	152576062	+
chr1	152586574	152589074	+
chr1	152595579	152598079	-
chr1	152637135	152639635	+
chr1	152649049	152651549	+
chr1	152659876	152662376	+
chr1	152671918	152674418	+
chr1	152681910	152684410	+
chr1	152692905	152695405	+
chr1	152749445	152751945	+
chr1	152770657	152773157	+
chr1	152800573	152803073	+
chr1	152816459	152818959	+
chr1	152945069	152947569	+
chr1	153044084	153046584	-
chr1	153113969	153116469	-
chr1	153123427	153125927	-
chr1	153191793	153194293	+
chr1	153283194	153285694	-
chr1	153321022	153323522	-
chr1	153395701	153398201	+
chr1	153412503	153415003	-
chr1	156269428	156271928	-
chr1	157069600	157072100	-
chr1	157098463	157100963	+
chr1	157567870	157570370	-
chr1	158369256	158371756	-
chr1	158390656	158393156	-
chr1	158436293	158438793	+
chr1	158450675	158453175	+
chr1	158517895	158520395	-
chr1	158533394	158535894	-
